seconds,time,tp,fp,tn,fn,precision,recall,dice,run,dataset
101.48721098899841,2021-01-04-19:14:44,969583,81079,258630786,103256,0.9228,0.9038,0.9132,0,val
112.14521861076355,2021-01-04-19:16:37,948625,108894,258602971,124214,0.897,0.8842,0.8906,1,val
113.69700741767883,2021-01-04-19:18:30,976234,97294,258614571,96605,0.9094,0.91,0.9097,2,val
112.61796116828918,2021-01-04-19:20:23,957944,90641,258621224,114895,0.9136,0.8929,0.9031,3,val
112.0318751335144,2021-01-04-19:22:15,930233,71660,258640205,142606,0.9285,0.8671,0.8967,4,val
